,city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state,City,State,Is_capital,Is_top_5,IDHM,IDHM_ranking,IDHM_longevity,Age_until_1,Age_1-4,Age_5-9,Age_10-14,Age_15-69,Age_60+,Population,Tourism_category,Rural_urban,Hotels,Companies,Cars,Motorcycles,Latitude,Longitude
5006,Araçatuba,3502804,8,4.06058,2020-04-06,,0,197016.0,False,7,city,SP,Araçatuba,SP,0,0,0.79,76.0,0.841,2082.0,8029.0,10265.0,12635.0,119383.0,24962.0,177356.0,4,Urbano,1.0,7528.0,81636.0,60964.0,-21.205476,-50.43922607
5007,Araçatuba,3502804,4,2.03029,2020-04-05,,0,197016.0,False,6,city,SP,Araçatuba,SP,0,0,0.79,76.0,0.841,2082.0,8029.0,10265.0,12635.0,119383.0,24962.0,177356.0,4,Urbano,1.0,7528.0,81636.0,60964.0,-21.205476,-50.43922607
5008,Araçatuba,3502804,4,2.03029,2020-04-04,,0,197016.0,False,5,city,SP,Araçatuba,SP,0,0,0.79,76.0,0.841,2082.0,8029.0,10265.0,12635.0,119383.0,24962.0,177356.0,4,Urbano,1.0,7528.0,81636.0,60964.0,-21.205476,-50.43922607
5009,Araçatuba,3502804,2,1.01515,2020-04-03,,0,197016.0,False,4,city,SP,Araçatuba,SP,0,0,0.79,76.0,0.841,2082.0,8029.0,10265.0,12635.0,119383.0,24962.0,177356.0,4,Urbano,1.0,7528.0,81636.0,60964.0,-21.205476,-50.43922607
5010,Araçatuba,3502804,2,1.01515,2020-04-02,,0,197016.0,False,3,city,SP,Araçatuba,SP,0,0,0.79,76.0,0.841,2082.0,8029.0,10265.0,12635.0,119383.0,24962.0,177356.0,4,Urbano,1.0,7528.0,81636.0,60964.0,-21.205476,-50.43922607
5011,Araçatuba,3502804,2,1.01515,2020-04-01,,0,197016.0,False,2,city,SP,Araçatuba,SP,0,0,0.79,76.0,0.841,2082.0,8029.0,10265.0,12635.0,119383.0,24962.0,177356.0,4,Urbano,1.0,7528.0,81636.0,60964.0,-21.205476,-50.43922607
5012,Araçatuba,3502804,1,0.50757,2020-03-31,,0,197016.0,False,1,city,SP,Araçatuba,SP,0,0,0.79,76.0,0.841,2082.0,8029.0,10265.0,12635.0,119383.0,24962.0,177356.0,4,Urbano,1.0,7528.0,81636.0,60964.0,-21.205476,-50.43922607
5179,Campinas,3509502,211,17.52385,2020-04-23,0.0427,9,1204073.0,True,31,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5180,Campinas,3509502,202,16.77639,2020-04-22,0.0446,9,1204073.0,False,30,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
5181,Campinas,3509502,199,16.52724,2020-04-21,0.0352,7,1204073.0,False,29,city,SP,Campinas,SP,0,1,0.805,30.0,0.86,11872.0,46027.0,59671.0,71266.0,687828.0,128175.0,1004839.0,5,Urbano,8.0,45789.0,608817.0,131184.0,-22.9073425,-47.06015627
