,city,date,confirmed,estimated_population_2019,icu_capacity,state
79,Araraquara,2020-05-14,228,991435.0,0.0001453852244473919,SP
80,Araraquara,2020-05-15,246,991435.0,0.0001453852244473919,SP
81,Araraquara,2020-05-16,262,991435.0,0.0001453852244473919,SP
82,Araraquara,2020-05-17,279,991435.0,0.0001453852244473919,SP
83,Araraquara,2020-05-18,281,991435.0,0.0001453852244473919,SP
84,Araraquara,2020-05-19,299,991435.0,0.0001453852244473919,SP
85,Araraquara,2020-05-20,314,991435.0,0.0001453852244473919,SP
86,Araraquara,2020-05-21,347,991435.0,0.0001453852244473919,SP
87,Araraquara,2020-05-22,373,991435.0,0.0001453852244473919,SP
88,Araraquara,2020-05-23,402,991435.0,0.0001453852244473919,SP
89,Araraquara,2020-05-24,415,991435.0,0.0001453852244473919,SP
90,Araraquara,2020-05-25,421,991435.0,0.0001453852244473919,SP
91,Araraquara,2020-05-26,430,991435.0,0.0001453852244473919,SP
92,Araraquara,2020-05-27,457,991435.0,0.0001453852244473919,SP
93,Araraquara,2020-05-28,494,991435.0,0.0001453852244473919,SP
94,Araraquara,2020-05-29,539,991435.0,0.0001453852244473919,SP
95,Araraquara,2020-05-30,576,991435.0,0.0001453852244473919,SP
96,Araraquara,2020-05-31,597,991435.0,0.0001453852244473919,SP
97,Araraquara,2020-06-01,600,991435.0,0.0001453852244473919,SP
98,Araraquara,2020-06-02,668,991435.0,0.0001453852244473919,SP
99,Araraquara,2020-06-03,721,991435.0,0.0001453852244473919,SP
100,Araraquara,2020-06-04,775,991435.0,0.0001453852244473919,SP
101,Araraquara,2020-06-05,835,991435.0,0.0001453852244473919,SP
102,Araraquara,2020-06-06,893,991435.0,0.0001453852244473919,SP
103,Araraquara,2020-06-07,928,991435.0,0.0001453852244473919,SP
104,Araraquara,2020-06-08,964,991435.0,0.0001453852244473919,SP
105,Araraquara,2020-06-09,996,991435.0,0.0001453852244473919,SP
106,Araraquara,2020-06-10,1075,991435.0,0.0001453852244473919,SP
107,Araraquara,2020-06-11,1175,991435.0,0.0001453852244473919,SP
108,Araraquara,2020-06-12,1234,991435.0,0.0001453852244473919,SP
109,Araraquara,2020-06-13,1271,991435.0,0.0001453852244473919,SP
110,Araraquara,2020-06-14,1326,991435.0,0.0001453852244473919,SP
111,Araraquara,2020-06-15,1342,991435.0,0.0001453852244473919,SP
112,Araraquara,2020-06-16,1405,991435.0,0.0001453852244473919,SP
113,Araraquara,2020-06-17,1411,991435.0,0.0001453852244473919,SP
114,Araraquara,2020-06-18,1414,991435.0,0.0001453852244473919,SP
115,Araraquara,2020-06-19,1644,991435.0,0.0001453852244473919,SP
116,Araraquara,2020-06-20,1703,991435.0,0.0001453852244473919,SP
117,Araraquara,2020-06-21,1772,991435.0,0.0001453852244473919,SP
118,Araraquara,2020-06-22,1812,991435.0,0.0001453852244473919,SP
119,Araraquara,2020-06-23,1854,991435.0,0.0001453852244473919,SP
120,Araraquara,2020-06-24,1937,991435.0,0.0001453852244473919,SP
121,Araraquara,2020-06-25,2030,991435.0,0.0001453852244473919,SP
122,Araraquara,2020-06-26,2131,991435.0,0.0001453852244473919,SP
123,Araraquara,2020-06-27,2217,991435.0,0.0001453852244473919,SP
124,Araraquara,2020-06-28,2316,991435.0,0.0001453852244473919,SP
125,Araraquara,2020-06-29,2350,991435.0,0.0001453852244473919,SP
126,Araraquara,2020-06-30,2369,991435.0,0.0001453852244473919,SP
